region,distributor,counter_type,day_time_type,rate_occurrence,cost_type,,kva_range_low,kva_range_high,amount_eur,amount_eur_tincl,time_of_day_start,time_of_day_end,date_start,date_end
bru,,,,monthly,accise,Droit d accise spécial,,,0.04748018868,0.050329,,, 2024-01-01, 2024-12-31
vl,,,,per_kwh,energy_contribution,Contribution sur l'énergie,,,0.001926415094,0.002042,,, 2024-01-01, 2024-12-31
wal,,,,per_kwh,energy_contribution,Contribution sur l'énergie,,,0.001926415094,0.002042,,, 2024-01-01, 2024-12-31
bru,,,,per_kwh,energy_contribution,Contribution sur l'énergie,,,0.001926415094,0.002042,,, 2024-01-01, 2024-12-31
wal,,,,per_kwh,connection,Redevance de raccordement,,,0.0007075471698,0.00075,,, 2024-01-01, 2024-12-31
vl,,,,per_kwh,green_certs,Contribution Certificats verts,,,0.01141509434,0.0121,,, 2024-01-01, 2024-12-31
wal,,,,per_kwh,green_certs,Contribution Certificats verts,,,0.02858490566,0.0303,,, 2024-01-01, 2024-12-31
bru,,,,per_kwh,green_certs,Contribution Certificats verts,,,0.02669811321,0.0283,,, 2024-01-01, 2024-12-31
vl,,,,per_kwh,cogen,Contribution Cogénération,,,0.003962264151,0.0042,,, 2024-01-01, 2024-12-31
bru,,,,annual_per_kw_range,public_service,Obligations de service publique,0,1.44,0,0,,, 2024-01-01, 2024-12-31
bru,,,,annual_per_kw_range,public_service,Obligations de service publique,1.44,6,11.39622642,12.08,,, 2024-01-01, 2024-12-31
bru,,,,annual_per_kw_range,public_service,Obligations de service publique,6,9.6,18.23584906,19.33,,, 2024-01-01, 2024-12-31
bru,,,,annual_per_kw_range,public_service,Obligations de service publique,9.6,13,22.9245283,24.3,,, 2024-01-01, 2024-12-31
bru,,,,annual_per_kw_range,public_service,Obligations de service publique,13,18,34.32075472,36.38,,, 2024-01-01, 2024-12-31
bru,,,,annual_per_kw_range,public_service,Obligations de service publique,18,36,45.71698113,48.46,,, 2024-01-01, 2024-12-31
bru,,,,annual_per_kw_range,public_service,Obligations de service publique,36,56,91.44339623,96.93,,, 2024-01-01, 2024-12-31
